account_id,customer_age,account_type,account_open_date,current_balance,avg_daily_balance,monthly_transactions,monthly_volume,overdraft_count_3m,credit_score,state,suspicious_activity,account_status
ACC_00000031,20,Business Checking,2025-07-31,41092.29,32276.74,46,119840.33,0,805,GA,0,Active
ACC_00000032,26,CD,2025-06-14,8990.36,9451.38,7,2435.09,2,614,NC,0,Active
ACC_00000033,53,Money Market,2017-04-15,6534.95,8288.93,11,2429.15,0,757,PA,0,Active
ACC_00000034,73,Checking,2019-02-24,1793.4,2163.87,23,2982.31,1,747,PA,0,Active
ACC_00000035,50,Savings,2022-11-28,8238.4,9696.86,8,4317.45,0,655,GA,0,Closed
ACC_00000036,72,Money Market,2021-12-29,11902.91,13684.24,7,6727.19,0,371,GA,0,Active
ACC_00000037,63,Money Market,2019-06-08,19422.75,20185.41,7,10031.28,0,850,NY,0,Active
ACC_00000038,42,Checking,2023-11-22,8579.3,6377.18,28,26243.41,0,850,FL,0,Active
ACC_00000039,34,Money Market,2021-05-22,17044.42,15149.45,8,12548.28,0,622,PA,0,Active
ACC_00000040,44,CD,2017-02-25,55457.78,42212.8,11,33438.79,0,723,GA,0,Active
ACC_00000041,46,Checking,2023-12-27,639.71,485.87,30,2465.09,0,780,OH,0,Active
ACC_00000042,65,Savings,2017-10-03,4173.01,3496.01,8,2592.8,0,552,NY,0,Active
ACC_00000043,51,Checking,2018-08-06,8146.81,9369.02,23,14134.69,0,768,PA,0,Active
ACC_00000044,41,Checking,2017-05-31,22561.56,21612.83,26,61041.27,0,579,GA,0,Active
ACC_00000045,47,Money Market,2020-07-07,60303.16,72457.83,3,19968.06,1,600,OH,0,Active
ACC_00000046,42,Business Checking,2018-05-16,92031.12,79449.66,36,277030.25,0,611,IL,0,Active
ACC_00000047,44,Savings,2017-09-12,7499.65,7434.21,8,5614.28,2,636,OH,0,Active
ACC_00000048,66,Money Market,2017-06-27,36005.43,38290.87,10,20649.19,0,840,PA,0,Active
ACC_00000049,43,Checking,2021-03-19,785.05,793.46,42,1365.18,1,694,NC,0,Active
ACC_00000050,18,Money Market,2017-02-03,6015.06,7166.5,9,3986.2,1,628,MI,0,Active
ACC_00000051,50,Savings,2021-09-13,38440.62,48998.28,9,12577.89,2,745,CA,0,Active
ACC_00000052,45,Checking,2015-11-24,40845.48,28847.01,26,74195.35,0,735,FL,0,Active
ACC_00000053,36,Savings,2021-02-17,5678.44,7261.72,6,1938.67,1,850,PA,0,Active
ACC_00000054,40,Checking,2016-06-26,4888.0,6299.33,17,14684.77,0,667,PA,0,Active
ACC_00000055,49,Checking,2022-04-06,29.38,29.14,22,62.33,1,768,PA,0,Active
ACC_00000056,43,Money Market,2020-03-09,8416.56,9805.63,12,4584.17,0,493,MI,0,Active
ACC_00000057,62,Money Market,2020-07-02,20400.24,22391.92,9,7054.52,0,850,NY,0,Active
ACC_00000058,31,Money Market,2019-09-11,12528.41,11057.47,14,6562.39,1,653,MI,0,Active
ACC_00000059,53,Checking,2018-03-02,1223.58,1060.95,17,3211.1,2,802,OH,0,Active
ACC_00000060,51,CD,2020-12-16,12220.72,9770.79,8,6789.66,0,850,TX,0,Active
ACC_00000061,51,Checking,2021-08-27,901.93,1157.94,26,3552.15,0,819,NY,0,Active
ACC_00000062,25,Savings,2021-12-26,2400.71,2425.25,5,1585.67,0,590,IL,0,Active
ACC_00000063,52,Money Market,2019-06-12,46524.3,34901.09,6,36145.61,0,685,MI,0,Active
ACC_00000064,60,Business Checking,2016-12-12,22519.11,17930.86,47,89133.04,0,748,CA,0,Active
ACC_00000065,37,Business Checking,2016-05-26,1151744.19,1333873.07,51,3064798.84,0,600,TX,0,Active
ACC_00000066,41,Money Market,2025-07-02,14679.35,16398.06,8,10394.3,0,725,TX,0,Active
ACC_00000067,61,Savings,2022-08-02,3680.47,4564.24,9,939.97,1,713,CA,0,Dormant
ACC_00000068,32,Savings,2017-10-11,699.81,817.72,7,208.06,1,744,CA,0,Active
ACC_00000069,18,Checking,2023-06-17,9058.85,11299.66,24,23526.83,0,850,PA,0,Active
ACC_00000070,27,Money Market,2022-03-26,49545.14,60630.33,7,37109.96,0,754,FL,0,Active
ACC_00000071,44,Savings,2016-05-17,6495.29,6632.34,7,4094.72,0,850,OH,0,Active
ACC_00000072,42,Money Market,2019-06-19,26443.69,30719.3,6,6515.48,0,587,PA,0,Active
ACC_00000073,27,Savings,2022-07-02,2748.2,3310.9,10,740.66,0,689,PA,0,Active
ACC_00000074,42,Savings,2016-11-02,1964.26,1589.82,5,1072.23,0,584,NC,0,Active
ACC_00000075,61,Money Market,2025-05-04,49168.71,61689.33,6,18045.2,1,850,OH,0,Active
ACC_00000076,58,Savings,2020-11-20,6385.58,5091.22,10,4923.59,1,607,FL,0,Active
ACC_00000077,18,Savings,2020-03-28,9425.06,8600.52,5,7119.98,1,840,NC,0,Active
ACC_00000078,37,CD,2016-10-05,28320.27,30189.15,8,15906.16,2,676,MI,0,Active
ACC_00000079,30,Money Market,2019-07-10,52295.66,46770.66,12,18455.54,0,823,CA,0,Active
ACC_00000080,80,Savings,2025-04-29,2258.79,2585.94,7,564.78,0,850,NC,0,Active
ACC_00000081,53,Money Market,2024-02-22,5832.51,4743.92,12,1289.38,1,766,NC,0,Active
ACC_00000082,35,Money Market,2018-09-22,2257.13,1809.21,9,1449.99,1,721,NC,0,Active
ACC_00000083,27,Business Checking,2018-07-05,1058411.6,838237.74,36,5521180.7,0,735,PA,0,Active
ACC_00000084,57,Business Checking,2019-03-02,105255.33,123274.08,34,409513.71,2,583,NC,0,Active
ACC_00000085,23,Savings,2020-04-26,11905.31,14890.4,6,9023.95,0,692,NC,0,Active
ACC_00000086,23,Business Checking,2018-11-11,70686.73,63920.15,35,230035.56,0,774,CA,0,Active
ACC_00000087,46,Checking,2019-08-06,105.01,109.69,26,276.47,0,664,PA,0,Active
ACC_00000088,52,Checking,2016-12-27,22467.04,22341.17,13,58733.6,0,717,NC,0,Dormant
ACC_00000089,62,Money Market,2024-12-18,47885.79,56816.51,11,16132.05,1,642,IL,0,Active
ACC_00000090,74,Savings,2019-08-07,82607.96,86719.29,11,24844.72,2,661,OH,0,Active
ACC_00000091,44,Savings,2023-12-19,8317.47,6485.36,8,6596.15,0,721,TX,0,Dormant
ACC_00000092,31,Checking,2022-06-16,526.63,375.08,31,1348.41,0,751,FL,0,Active
ACC_00000093,47,CD,2017-12-05,197513.44,190464.46,14,40742.73,1,694,PA,0,Active
ACC_00000094,34,CD,2024-03-08,27526.77,35781.5,13,9813.85,0,767,PA,0,Active
ACC_00000095,42,Checking,2023-12-21,10767.15,12968.19,17,37564.67,1,726,OH,0,Closed
ACC_00000096,64,Checking,2023-06-13,14027.55,10676.17,22,53758.26,0,634,MI,0,Active
ACC_00000097,66,CD,2021-01-06,12735.12,14522.88,10,7604.53,0,708,PA,0,Active
ACC_00000098,41,Checking,2023-12-14,2060.91,2111.59,25,8233.8,1,657,OH,0,Dormant
ACC_00000099,32,Checking,2021-04-26,7694.84,6036.77,29,25833.12,0,793,NC,0,Active
ACC_00000100,57,CD,2023-11-16,58246.42,66284.82,5,33138.47,0,700,CA,0,Active
ACC_00000101,55,Checking,2023-10-07,10489.59,9408.9,17,33568.85,0,779,TX,0,Active
ACC_00000102,45,Savings,2021-12-05,5208.39,5592.91,12,3742.61,1,537,OH,0,Active
ACC_00000103,35,Savings,2015-10-19,26310.21,23058.53,6,12244.29,1,671,OH,0,Active
ACC_00000104,50,Checking,2020-08-14,40340.65,51902.09,31,104132.19,0,614,NC,0,Active
ACC_00000105,40,Checking,2024-06-23,4483.2,4822.94,35,16120.93,0,572,OH,0,Active
ACC_00000106,39,Business Checking,2016-07-30,18109.01,16518.78,56,64820.87,0,581,PA,0,Active
ACC_00000107,69,Savings,2024-03-06,13465.48,16110.83,8,6402.97,1,684,OH,0,Active
ACC_00000108,68,Money Market,2017-12-10,3188.8,3531.7,11,1579.98,0,714,FL,0,Active
ACC_00000109,18,Savings,2020-03-18,82636.24,87648.17,8,48025.13,0,626,PA,0,Dormant
ACC_00000110,20,Savings,2020-02-10,3363.66,4371.58,15,2218.02,1,698,NY,0,Active
ACC_00000111,18,Checking,2023-09-14,2555.87,2355.08,23,8955.53,0,493,NC,0,Dormant
ACC_00000112,32,Savings,2019-12-23,555.0,559.99,7,134.87,0,529,OH,0,Active
ACC_00000113,43,Savings,2024-05-19,80848.51,69056.94,5,25648.54,0,493,TX,0,Active
ACC_00000114,57,Savings,2020-04-05,3465.27,4423.36,12,1890.5,1,755,TX,0,Active
ACC_00000115,65,Checking,2020-11-08,3218.7,3744.72,29,11088.86,0,748,MI,0,Active
ACC_00000116,62,Money Market,2017-03-09,118822.79,133359.32,7,62295.82,1,850,CA,0,Dormant
ACC_00000117,46,Checking,2017-01-03,903.84,1071.26,15,2136.37,0,656,MI,0,Active
ACC_00000118,30,CD,2016-02-29,89747.7,74211.71,8,35270.97,0,622,IL,0,Active
ACC_00000119,37,Checking,2024-12-10,443.38,551.39,24,1334.96,0,597,CA,0,Active
ACC_00000120,64,CD,2021-07-01,26488.65,23810.27,7,8946.76,0,774,TX,0,Active
ACC_00000121,36,CD,2025-01-22,71532.38,89348.83,7,28730.35,0,748,GA,0,Active
ACC_00000122,32,Checking,2025-04-23,5920.98,6606.59,30,15468.1,0,616,NC,0,Active
ACC_00000123,49,Checking,2023-12-04,224.84,168.18,25,670.79,0,648,IL,0,Active
ACC_00000124,18,Savings,2020-01-04,4011.82,4274.2,7,1927.11,1,847,GA,0,Active
ACC_00000125,34,Checking,2016-03-23,34832.6,28075.16,24,70684.94,0,749,IL,0,Active
ACC_00000126,46,Checking,2016-04-19,1317.16,1622.3,30,4612.86,1,550,MI,0,Active
ACC_00000127,55,Savings,2016-04-29,12794.79,9649.27,6,8182.68,0,690,TX,0,Active
ACC_00000128,74,Checking,2020-04-10,471.84,572.56,31,1191.14,1,785,MI,0,Dormant
ACC_00000129,32,Checking,2018-03-19,7154.27,5288.07,23,12405.38,1,630,PA,0,Active
ACC_00000130,24,Checking,2018-02-19,4640.23,3507.83,29,8260.27,0,697,CA,0,Active
ACC_00000131,33,Savings,2016-02-29,12614.4,13893.07,4,6194.75,1,750,CA,0,Active
ACC_00000132,18,Checking,2023-04-21,665.26,675.26,20,1667.98,0,459,FL,0,Active
ACC_00000133,45,Savings,2017-08-01,14625.96,17807.05,9,8605.3,2,814,NY,0,Active
ACC_00000134,53,Checking,2023-08-24,4639.71,5054.91,30,6980.6,0,701,IL,0,Active
ACC_00000135,34,Checking,2019-05-07,1185.52,1291.45,30,4649.04,1,681,PA,0,Active
ACC_00000136,30,Savings,2017-07-04,9478.69,8872.95,6,6312.79,0,842,GA,0,Active
ACC_00000137,38,Business Checking,2018-03-10,909490.1,1162346.41,44,2738563.8,1,807,OH,0,Active
ACC_00000138,41,Savings,2019-03-16,14206.01,13492.77,13,9907.41,0,659,CA,0,Active
ACC_00000139,26,Money Market,2018-02-04,84796.68,100355.56,8,54443.16,1,768,PA,0,Active
ACC_00000140,52,Money Market,2015-09-20,20678.15,17864.79,3,11434.5,0,563,TX,0,Active
ACC_00000141,28,Checking,2018-01-11,19070.81,15800.92,24,72611.96,1,666,GA,0,Active
ACC_00000142,62,Checking,2017-02-27,6408.75,5054.74,30,10971.94,0,626,OH,0,Active
ACC_00000143,18,Savings,2022-09-23,6625.48,8536.57,5,4056.32,0,653,NC,0,Active
ACC_00000144,30,CD,2016-05-09,41534.66,48062.44,11,27402.03,0,747,NC,0,Active
ACC_00000145,18,Checking,2019-01-30,1862.65,2333.8,19,5671.42,1,652,MI,0,Active
ACC_00000146,50,Checking,2018-01-19,1556.36,1256.15,30,2954.89,0,574,FL,0,Dormant
ACC_00000147,44,Checking,2025-02-27,32690.77,32019.87,25,117467.86,0,733,MI,0,Active
ACC_00000148,48,Money Market,2021-09-14,3886.49,2940.13,6,1661.92,2,647,CA,0,Active
ACC_00000149,70,Checking,2017-06-04,469.16,549.57,27,1818.79,0,850,MI,0,Active
ACC_00000150,54,Savings,2020-04-28,30142.93,32283.56,14,22032.27,1,719,TX,0,Active
ACC_00000151,31,Money Market,2017-08-21,27158.45,22463.05,6,13422.32,0,653,NC,0,Active
ACC_00000152,42,Savings,2021-12-20,1745.44,1478.83,9,1323.27,0,751,IL,0,Active
ACC_00000153,34,Checking,2021-10-08,10150.07,7148.91,28,32238.36,0,850,GA,0,Dormant
ACC_00000154,31,Savings,2020-07-19,10417.56,12273.62,7,7839.68,0,648,NY,0,Active
ACC_00000155,48,Savings,2021-10-14,5988.08,5770.55,9,1377.49,0,734,MI,0,Closed
ACC_00000156,57,Checking,2018-02-21,8766.09,7458.57,20,30154.11,0,848,CA,0,Active
ACC_00000157,20,CD,2022-05-12,8297.82,8916.9,4,4869.38,0,850,MI,0,Active
ACC_00000158,37,Checking,2022-10-21,14872.83,14481.17,23,47990.04,1,573,CA,0,Active
ACC_00000159,70,Savings,2024-03-18,22804.63,17579.32,3,13597.55,0,698,GA,0,Active
ACC_00000160,52,Savings,2015-10-16,4918.45,4941.83,9,2129.43,0,715,OH,0,Active
ACC_00000161,34,Business Checking,2020-07-05,232866.19,183510.72,34,974425.71,0,831,GA,0,Closed
ACC_00000162,55,Savings,2022-11-19,14157.08,10825.68,6,8657.53,0,517,PA,0,Active
ACC_00000163,36,Checking,2021-03-13,6850.76,7743.1,32,25093.66,0,850,IL,0,Active
ACC_00000164,34,Savings,2018-06-25,29163.79,26836.17,3,9256.72,0,839,OH,0,Active
ACC_00000165,75,CD,2023-03-22,78521.39,59513.17,9,56368.98,0,801,OH,0,Dormant
ACC_00000166,32,Checking,2016-02-22,9242.64,11824.7,31,14207.68,1,507,TX,0,Active
ACC_00000167,27,Business Checking,2021-11-03,458497.51,351724.16,46,1685314.33,1,842,NC,0,Dormant
ACC_00000168,52,Checking,2023-03-16,14704.06,16060.75,24,51569.75,0,699,NC,0,Active
ACC_00000169,44,Checking,2017-07-29,12203.0,10058.53,24,44661.12,0,847,GA,0,Active
ACC_00000170,40,Savings,2019-11-29,57771.6,71537.32,9,25375.54,0,715,PA,0,Active
ACC_00000171,71,Savings,2024-10-01,8226.23,7494.89,4,2036.09,0,841,MI,0,Active
ACC_00000172,20,Savings,2021-08-08,23210.16,29270.23,12,10592.85,0,715,NC,0,Active
ACC_00000173,45,Checking,2016-04-30,576.81,603.99,28,2281.97,0,772,NY,0,Active
ACC_00000174,49,Checking,2017-01-16,1154.14,1024.65,28,3795.11,1,742,NY,0,Active
ACC_00000175,41,Money Market,2020-07-22,4412.44,4843.81,5,1389.79,1,738,OH,0,Active
ACC_00000176,18,CD,2019-11-09,17278.88,17839.0,11,7012.87,2,747,NY,0,Active
ACC_00000177,40,Checking,2023-08-20,6628.31,6867.01,25,20645.19,0,569,OH,0,Active
ACC_00000178,24,Money Market,2021-04-27,13988.54,15629.62,13,6511.95,1,525,NY,0,Active
ACC_00000179,70,Savings,2016-07-14,6198.29,5503.48,8,3420.34,0,749,OH,0,Dormant
ACC_00000180,18,Savings,2025-07-30,10636.75,13275.98,5,6882.86,2,784,NY,0,Active
ACC_00000181,35,Savings,2021-08-26,3173.47,3476.7,8,1772.88,0,617,PA,0,Active
ACC_00000182,79,Money Market,2020-04-15,15389.5,17806.55,4,10225.23,0,681,NC,0,Active
ACC_00000183,48,CD,2025-01-25,9210.56,7957.81,9,4989.15,2,700,GA,0,Closed
ACC_00000184,48,Checking,2016-02-15,2283.69,1752.32,23,8713.55,1,777,NC,0,Active
ACC_00000185,48,Checking,2017-09-24,1256.79,1474.25,27,3132.75,1,601,CA,0,Active
ACC_00000186,50,Savings,2016-03-23,1166.82,1325.64,7,704.97,1,749,TX,0,Active
ACC_00000187,52,Savings,2025-01-02,9442.8,10930.71,13,5622.79,0,516,PA,0,Active
ACC_00000188,50,Savings,2024-04-12,7802.64,9095.78,6,5079.82,0,744,NC,0,Active
ACC_00000189,69,Business Checking,2019-02-01,14969.51,12968.38,35,70490.73,0,672,NY,0,Dormant
ACC_00000190,29,Money Market,2019-02-16,59217.81,63085.01,12,34328.91,0,738,GA,0,Active
ACC_00000191,77,Savings,2016-02-25,2156.39,2010.81,5,1479.5,1,662,NY,0,Active
ACC_00000192,51,Savings,2022-01-20,854.96,652.52,8,272.59,0,733,OH,0,Dormant
ACC_00000193,53,Checking,2025-07-18,1389.1,1576.94,35,3868.23,0,611,FL,0,Active
ACC_00000194,18,Savings,2023-04-05,38576.03,30957.07,9,22681.7,1,784,OH,0,Active
ACC_00000195,67,Money Market,2017-04-16,8105.02,6639.18,7,5583.06,0,664,OH,0,Active
ACC_00000196,41,Money Market,2019-05-19,101462.97,120869.54,3,57305.16,0,688,FL,0,Active
ACC_00000197,67,Money Market,2023-01-20,38737.99,38499.13,6,22316.85,0,634,GA,0,Active
ACC_00000198,33,Savings,2023-06-09,5319.07,5639.92,7,1998.84,0,721,IL,0,Dormant
ACC_00000199,44,Money Market,2025-07-22,24293.78,27342.61,4,5713.97,0,623,NY,0,Active
ACC_00000200,51,CD,2025-07-03,11208.85,12381.73,11,7776.81,2,493,CA,0,Active
ACC_00000201,59,Savings,2025-03-14,7079.3,6965.88,9,3130.9,1,714,IL,0,Active
ACC_00000202,26,Savings,2019-02-12,11093.63,12766.29,5,7016.69,1,637,GA,0,Active
ACC_00000203,24,Checking,2018-02-28,273.9,287.8,17,1019.52,0,572,NC,0,Active
ACC_00000204,18,Savings,2019-12-21,36830.28,42493.72,7,17547.67,0,777,GA,0,Active
ACC_00000205,19,Checking,2024-03-14,37800.0,46252.3,25,76493.64,0,667,CA,0,Active
ACC_00000206,36,Checking,2022-07-25,7934.59,7865.17,28,23945.75,0,850,IL,0,Active
ACC_00000207,74,Checking,2023-03-20,3368.04,3097.12,19,6021.42,1,746,IL,0,Active
ACC_00000208,28,CD,2024-07-09,101213.54,123126.11,6,69196.03,1,633,NY,0,Active
ACC_00000209,39,Checking,2018-06-28,719.31,645.5,26,1959.86,1,766,NY,0,Active
ACC_00000210,33,Money Market,2017-03-13,59440.08,44862.47,4,12832.8,0,599,NY,0,Active
ACC_00000211,21,Savings,2016-01-07,884.9,649.63,10,448.41,1,798,NY,0,Active
ACC_00000212,48,Checking,2022-10-11,147.05,186.06,26,425.43,0,846,CA,0,Dormant
ACC_00000213,42,Checking,2025-07-08,876.7,734.53,24,2025.49,0,739,CA,0,Active
ACC_00000214,36,Checking,2023-01-18,9565.48,7152.23,33,35939.72,0,528,MI,0,Active
ACC_00000215,54,Savings,2023-09-01,80734.97,70479.7,8,54054.27,1,658,MI,0,Active
ACC_00000216,39,Savings,2021-11-11,2625.38,2633.18,6,852.97,0,595,MI,0,Active
ACC_00000217,77,Checking,2024-02-22,487.23,593.38,27,1336.92,1,791,IL,0,Active
ACC_00000218,40,Savings,2021-01-30,19243.83,19508.32,4,10737.1,0,627,PA,0,Active
ACC_00000219,58,Savings,2017-08-25,2937.8,2126.39,9,1824.71,0,666,CA,0,Active
ACC_00000220,24,Checking,2025-02-19,13141.14,13318.12,20,36535.56,0,644,NC,0,Active
ACC_00000221,26,Checking,2020-01-31,2197.16,2355.62,21,5785.53,0,763,GA,0,Active
ACC_00000222,30,Checking,2015-12-08,2167.14,2202.06,28,3260.22,0,679,OH,0,Active
ACC_00000223,24,Checking,2022-05-19,2714.31,3083.35,27,10467.16,1,840,IL,0,Active
ACC_00000224,80,Savings,2024-09-29,3038.42,2735.25,9,2376.56,1,612,GA,0,Active
ACC_00000225,64,Checking,2015-12-28,4076.53,3516.66,34,14624.07,0,482,PA,0,Active
ACC_00000226,79,Money Market,2022-10-12,6055.36,4718.12,14,4266.43,0,516,FL,0,Active
ACC_00000227,41,Savings,2017-05-25,5590.17,5364.09,5,2882.95,1,720,PA,0,Active
ACC_00000228,44,Business Checking,2018-04-01,117323.39,83411.15,50,590889.06,0,618,IL,0,Active
ACC_00000229,45,Checking,2017-08-24,476.42,520.43,30,1417.08,0,652,OH,0,Active
ACC_00000230,35,Checking,2023-04-11,2648.66,2604.9,22,10297.95,1,580,TX,0,Closed
ACC_00000231,18,Checking,2020-02-03,2791.1,3114.37,29,10787.5,0,817,TX,0,Active
ACC_00000232,40,Savings,2025-03-26,516.63,432.74,10,359.42,0,837,CA,0,Active
ACC_00000233,53,Checking,2018-02-08,2689.05,2186.23,23,5678.49,0,808,TX,0,Dormant
ACC_00000234,61,Checking,2020-03-27,435.1,541.27,25,1038.84,2,685,TX,0,Active
ACC_00000235,18,CD,2015-09-15,51586.22,42976.93,5,20071.67,0,687,MI,0,Active
ACC_00000236,21,CD,2021-05-15,25084.44,27599.34,5,5677.81,0,571,NY,0,Active
ACC_00000237,41,Money Market,2019-06-25,9355.54,8290.81,7,6046.8,0,744,CA,0,Active
ACC_00000238,66,Savings,2017-06-08,13717.29,13695.76,6,10439.59,1,739,OH,0,Active
ACC_00000239,23,Checking,2021-10-31,38164.8,35527.34,23,106211.56,0,583,CA,0,Dormant
ACC_00000240,46,Checking,2023-07-18,4331.54,5295.29,21,10299.47,1,653,FL,0,Active
ACC_00000241,34,Checking,2025-05-26,1524.59,1157.24,24,4452.56,1,665,PA,0,Active
ACC_00000242,46,Savings,2016-08-02,2806.09,2741.5,2,2175.5,1,726,NC,0,Active
ACC_00000243,34,Business Checking,2022-06-19,206358.99,261667.83,47,1128868.3,2,642,MI,0,Active
ACC_00000244,56,Checking,2024-10-02,497.84,361.72,25,1968.74,1,692,NY,0,Active
ACC_00000245,50,Savings,2018-03-25,2726.54,2870.34,4,821.89,1,636,PA,0,Active
ACC_00000246,68,Savings,2021-03-04,28491.12,21801.76,9,13351.66,1,684,NC,0,Dormant
ACC_00000247,50,Checking,2020-10-30,12125.57,8929.67,22,33727.42,0,775,NY,0,Active
ACC_00000248,30,Savings,2024-09-30,1254.95,1498.79,14,623.78,0,827,PA,0,Dormant
ACC_00000249,70,Checking,2021-03-08,176.38,184.98,33,574.11,0,566,NY,0,Active
ACC_00000250,80,CD,2016-05-09,39751.1,39380.86,8,14075.71,3,726,CA,0,Active
ACC_00000251,38,Savings,2019-04-26,3480.65,3277.81,9,2174.97,0,667,TX,0,Active
ACC_00000252,44,Checking,2018-06-10,397.71,373.47,26,1189.17,1,756,NY,0,Active
ACC_00000253,41,Money Market,2024-05-24,238442.09,265035.34,5,84822.32,0,813,FL,0,Active
ACC_00000254,70,Savings,2022-02-04,16210.99,18113.87,5,12495.01,0,790,MI,0,Active
ACC_00000255,29,Savings,2024-07-12,19901.33,19575.73,9,4887.63,0,709,NC,0,Active
ACC_00000256,44,Savings,2018-07-05,105474.13,132861.56,5,83802.74,2,773,CA,0,Active
ACC_00000257,55,CD,2025-01-17,22795.74,20395.26,8,13096.72,0,553,OH,0,Closed
ACC_00000258,33,Savings,2019-07-24,744.06,961.83,12,294.66,0,850,CA,0,Active
ACC_00000259,56,Checking,2015-09-27,492.49,490.43,28,1146.05,2,523,PA,0,Active
ACC_00000260,75,Money Market,2024-09-08,40011.98,43049.16,10,15341.94,0,693,TX,0,Dormant
ACC_00000261,45,Savings,2015-09-22,2426.11,2163.17,9,733.91,0,723,IL,0,Active
ACC_00000262,44,Checking,2018-01-10,363.75,310.48,27,1085.56,1,850,PA,0,Active
ACC_00000263,59,Business Checking,2018-11-22,115084.55,98815.77,43,393504.92,0,611,CA,0,Active
ACC_00000264,73,Money Market,2024-01-02,18465.07,19481.19,14,7255.32,0,418,TX,0,Active
ACC_00000265,57,Checking,2022-07-15,121.27,141.18,29,218.44,0,558,NY,0,Active
ACC_00000266,51,Checking,2016-05-23,1464.52,1169.21,16,4546.13,0,653,OH,0,Active
ACC_00000267,18,Checking,2020-11-26,3927.4,3722.85,30,15344.03,1,738,NC,0,Active
ACC_00000268,46,CD,2023-06-11,23805.85,23601.02,8,18702.14,1,517,FL,0,Active
ACC_00000269,43,CD,2025-07-07,56607.46,50960.96,9,20681.23,2,598,GA,0,Active
ACC_00000270,50,Checking,2016-03-03,855.04,743.86,23,3122.77,0,652,NY,0,Dormant
ACC_00000271,34,Money Market,2017-02-03,22565.93,23816.07,12,8110.01,1,578,TX,0,Active
ACC_00000272,18,Checking,2015-09-27,200.17,198.83,23,361.11,0,738,PA,0,Active
ACC_00000273,51,Savings,2016-08-18,943.04,778.05,7,195.85,0,566,MI,0,Active
ACC_00000274,31,Checking,2018-12-19,109.4,82.27,21,414.94,0,730,CA,0,Active
ACC_00000275,18,Money Market,2019-04-08,27793.94,29487.83,11,11242.24,0,792,IL,0,Active
ACC_00000276,33,Checking,2024-06-23,958.17,925.22,28,2949.5,0,692,CA,0,Active
