loan_id,application_date,applicant_age,annual_income,credit_score,employment_years,debt_to_income_ratio,loan_type,loan_amount,loan_term_months,interest_rate,is_approved,is_default,state,purpose,own_home,years_at_address
LOAN_0000063,2023-09-28,39,159512,704,4,0.185,Auto,54332.91,48,0.1087,1,0,PA,education,1,2
LOAN_0000064,2024-10-25,52,71848,620,1,0.193,Personal,44418.33,36,0.2537,1,0,MI,debt_consolidation,1,1
LOAN_0000065,2024-04-05,44,20595,515,3,0.311,Auto,52741.78,36,0.2821,0,0,IL,debt_consolidation,1,8
LOAN_0000066,2023-10-29,48,153912,601,17,0.379,Auto,21823.91,60,0.2047,1,0,NY,medical,1,8
LOAN_0000067,2025-02-18,33,166955,694,2,0.078,Mortgage,137961.2,300,0.073,0,0,NC,home_improvement,0,6
LOAN_0000068,2024-08-04,28,107514,594,2,0.756,Personal,29866.54,24,0.265,0,0,PA,other,0,10
LOAN_0000069,2023-09-22,65,35886,708,1,0.042,Mortgage,170658.85,300,0.0813,0,0,MI,debt_consolidation,1,3
LOAN_0000070,2024-08-25,43,80284,602,5,0.216,Auto,79781.1,36,0.2134,1,0,OH,other,1,0
LOAN_0000071,2024-01-12,18,39060,712,9,0.102,Student,11886.21,180,0.0863,1,0,IL,other,0,1
LOAN_0000072,2024-08-10,32,53793,553,4,0.101,Mortgage,163996.67,360,0.2495,1,0,IL,home_improvement,0,0
LOAN_0000073,2024-01-12,49,73600,715,5,0.597,Mortgage,330156.35,300,0.0747,1,0,MI,vacation,1,1
LOAN_0000074,2023-11-26,46,57785,850,9,0.635,Mortgage,170908.32,360,0.03,1,1,CA,medical,0,1
LOAN_0000075,2023-10-13,45,73172,842,0,0.746,Mortgage,123976.76,300,0.03,0,0,TX,business,0,1
LOAN_0000076,2025-02-12,44,65706,455,11,0.299,Mortgage,138075.28,360,0.3425,0,0,OH,medical,0,1
LOAN_0000077,2024-05-15,60,29159,734,3,0.718,Mortgage,126764.78,300,0.0575,0,0,GA,education,1,3
LOAN_0000078,2024-05-24,37,64976,487,1,0.45,Mortgage,182730.49,300,0.2882,0,0,IL,home_improvement,1,3
LOAN_0000079,2024-08-27,56,113354,439,0,0.392,Mortgage,499496.05,360,0.3512,0,0,IL,debt_consolidation,1,2
LOAN_0000080,2023-09-23,50,22145,732,1,0.206,Personal,36671.68,60,0.1298,0,0,PA,other,1,3
LOAN_0000081,2024-03-13,21,105680,753,3,0.139,Mortgage,428140.82,180,0.0301,1,0,GA,other,1,0
LOAN_0000082,2024-02-11,39,48453,689,21,0.141,Personal,25090.35,24,0.1815,0,0,NY,home_improvement,1,3
LOAN_0000083,2024-06-11,26,34328,449,4,0.43,Mortgage,129994.58,360,0.3605,0,0,FL,business,1,16
LOAN_0000084,2024-08-04,36,46673,624,2,0.253,Mortgage,183808.59,180,0.1719,0,0,PA,business,1,2
LOAN_0000085,2023-09-23,45,105262,850,16,0.236,Mortgage,368401.99,360,0.03,1,1,TX,vacation,0,4
LOAN_0000086,2025-05-19,18,58979,567,0,0.309,Student,32535.99,240,0.2241,0,0,GA,medical,0,15
LOAN_0000087,2024-12-10,59,37394,525,16,0.046,Mortgage,119561.75,180,0.2689,1,0,NY,education,0,5
LOAN_0000088,2025-03-29,18,100236,710,14,0.337,Personal,41884.84,36,0.1629,1,0,IL,debt_consolidation,0,0
LOAN_0000089,2024-08-31,60,46053,650,1,0.382,Personal,46617.98,48,0.2316,0,0,IL,vacation,0,14
LOAN_0000090,2024-04-07,42,94516,594,1,0.223,Mortgage,443277.18,180,0.1993,0,0,GA,other,0,6
LOAN_0000091,2025-04-12,40,25813,692,1,0.079,Business,53949.99,36,0.1206,0,0,MI,medical,1,10
LOAN_0000092,2023-09-25,35,52907,419,1,0.412,Auto,50690.86,48,0.3982,0,0,CA,medical,1,2
LOAN_0000093,2025-08-05,41,109730,766,3,0.294,Personal,23881.27,36,0.1071,1,0,TX,debt_consolidation,1,0
LOAN_0000094,2025-05-11,39,93929,483,23,0.351,Auto,44031.08,48,0.3313,0,0,OH,vacation,1,9
LOAN_0000095,2024-02-02,41,30047,666,5,0.507,Mortgage,100444.09,240,0.1322,0,0,OH,other,0,9
LOAN_0000096,2025-03-16,53,50957,550,6,0.075,Mortgage,138294.19,300,0.2364,0,0,PA,home_improvement,1,1
LOAN_0000097,2024-04-18,53,115638,684,0,0.116,Mortgage,492204.26,240,0.0923,1,0,MI,medical,1,3
LOAN_0000098,2025-07-18,65,20000,325,0,0.656,Mortgage,96660.29,180,0.4619,0,0,PA,other,1,0
LOAN_0000099,2025-03-16,43,113968,654,4,0.595,Personal,37619.22,36,0.2212,1,0,NC,medical,1,9
LOAN_0000100,2024-10-23,38,73839,690,12,0.29,Auto,49698.3,48,0.1148,1,0,MI,other,1,5
LOAN_0000101,2024-08-17,43,21945,703,1,0.22,Personal,22742.94,36,0.1552,1,0,OH,education,1,10
LOAN_0000102,2025-07-12,51,85480,595,4,0.259,Student,39731.88,240,0.2157,1,1,MI,medical,1,0
LOAN_0000103,2025-07-20,63,20000,675,2,0.325,Mortgage,98215.79,180,0.112,0,0,GA,medical,0,2
LOAN_0000104,2023-10-29,34,109944,681,0,0.231,Auto,42476.37,72,0.1258,1,0,TX,home_improvement,1,16
LOAN_0000105,2024-03-06,73,22456,727,6,0.226,Mortgage,107582.6,300,0.0607,1,0,CA,medical,1,0
LOAN_0000106,2023-10-05,41,26488,664,0,0.347,Mortgage,112678.76,360,0.1414,0,0,PA,home_improvement,1,0
LOAN_0000107,2025-06-05,43,25633,300,1,0.401,Auto,25060.53,60,0.5057,0,0,NY,business,0,0
LOAN_0000108,2024-05-08,50,104181,830,0,0.708,Business,297833.59,24,0.03,0,0,FL,vacation,1,2
LOAN_0000109,2024-01-15,51,55194,481,5,0.335,Mortgage,240266.81,300,0.3107,0,0,PA,home_improvement,1,4
LOAN_0000110,2025-08-23,61,80953,686,1,0.119,Mortgage,212133.12,180,0.1085,1,0,GA,vacation,1,0
LOAN_0000111,2023-12-06,49,56831,645,0,0.253,Mortgage,240768.17,360,0.1444,1,0,TX,other,0,1
LOAN_0000112,2025-04-17,32,87451,724,5,0.221,Business,128978.48,48,0.1055,0,0,NY,debt_consolidation,1,1
LOAN_0000113,2025-03-16,51,20000,508,12,0.173,Mortgage,97149.03,360,0.2759,0,0,TX,other,0,0
LOAN_0000114,2023-11-08,30,36141,713,2,0.218,Mortgage,102886.28,240,0.087,1,0,TX,education,1,5
LOAN_0000115,2024-08-04,44,54223,703,1,0.123,Mortgage,143437.29,360,0.0931,1,1,MI,business,0,2
LOAN_0000116,2024-07-05,37,34803,663,9,0.489,Mortgage,103541.07,360,0.124,1,0,FL,business,1,2
LOAN_0000117,2024-02-13,33,20000,850,5,0.497,Auto,46402.2,72,0.03,1,1,IL,other,1,6
LOAN_0000118,2025-09-01,59,58227,775,5,0.417,Auto,77559.14,72,0.031,1,0,IL,home_improvement,1,0
LOAN_0000119,2024-10-22,26,33172,710,2,0.248,Student,11581.88,120,0.0897,1,0,FL,home_improvement,1,3
LOAN_0000120,2023-10-13,32,28372,635,10,0.209,Auto,20654.0,60,0.1849,0,0,PA,education,1,3
LOAN_0000121,2024-06-02,21,37793,576,4,0.165,Auto,71592.67,36,0.2388,1,0,PA,other,1,17
LOAN_0000122,2023-12-07,18,35485,665,9,0.453,Auto,40965.28,72,0.1436,1,0,PA,medical,1,1
LOAN_0000123,2024-09-11,68,47693,700,1,0.091,Business,148541.37,60,0.1345,1,0,MI,debt_consolidation,1,0
LOAN_0000124,2024-06-15,61,77092,532,3,0.183,Mortgage,257476.7,240,0.2797,1,0,CA,other,1,4
LOAN_0000125,2024-03-02,24,91413,655,16,0.029,Personal,31082.07,48,0.2089,1,0,OH,other,1,1
LOAN_0000126,2024-10-26,70,20000,554,1,0.148,Mortgage,96139.71,180,0.2227,0,0,TX,business,1,8
LOAN_0000127,2024-06-22,21,76968,714,7,0.35,Student,40110.34,240,0.0922,0,0,NC,debt_consolidation,1,1
LOAN_0000128,2024-06-02,32,24974,633,1,0.553,Student,78770.97,240,0.1598,0,0,IL,education,0,6
LOAN_0000129,2025-02-21,18,30570,709,5,0.081,Mortgage,137999.86,300,0.073,0,0,CA,vacation,1,2
LOAN_0000130,2024-07-07,30,29973,697,0,0.403,Auto,18590.72,48,0.1231,0,0,OH,vacation,1,0
LOAN_0000131,2025-06-06,52,40401,486,3,0.313,Mortgage,184356.98,360,0.3097,0,0,PA,vacation,0,1
LOAN_0000132,2025-02-02,31,65500,352,4,0.536,Mortgage,132349.05,180,0.4306,0,0,FL,vacation,1,4
LOAN_0000133,2025-03-22,33,56985,668,2,0.202,Mortgage,213833.46,240,0.1324,1,0,MI,business,1,4
LOAN_0000134,2024-05-17,25,208405,774,14,0.683,Personal,31231.99,48,0.0866,1,0,PA,home_improvement,0,4
LOAN_0000135,2023-12-10,62,248475,678,0,0.409,Auto,32595.73,48,0.1361,0,0,NY,education,0,3
LOAN_0000136,2025-04-08,54,20000,559,4,0.068,Mortgage,96489.86,300,0.2145,0,0,NY,other,1,2
LOAN_0000137,2024-12-12,57,20695,641,3,0.33,Auto,20666.49,60,0.167,0,0,PA,business,1,2
LOAN_0000138,2024-05-17,24,57177,796,3,0.464,Personal,28520.95,60,0.0663,1,0,IL,other,0,0
LOAN_0000139,2025-01-16,52,59424,850,6,0.139,Mortgage,103477.02,180,0.03,1,0,OH,home_improvement,0,5
LOAN_0000140,2024-02-21,24,78625,601,0,0.076,Personal,21278.16,48,0.2692,1,0,MI,business,1,0
LOAN_0000141,2023-09-17,58,141702,783,1,0.234,Personal,30963.04,48,0.0788,1,0,CA,debt_consolidation,0,14
LOAN_0000142,2025-06-13,24,33785,583,0,0.293,Mortgage,113958.76,240,0.2256,0,0,GA,education,0,1
LOAN_0000143,2023-12-17,84,33961,610,5,0.516,Business,120052.75,48,0.2215,0,0,CA,other,1,0
LOAN_0000144,2024-01-21,29,31746,795,1,0.064,Personal,22202.5,36,0.0857,1,0,FL,home_improvement,1,0
LOAN_0000145,2025-01-24,27,57214,667,2,0.169,Personal,31834.83,36,0.2129,1,0,IL,other,1,12
LOAN_0000146,2024-02-13,54,41314,665,0,0.075,Personal,40339.62,60,0.2128,0,0,IL,education,0,0
LOAN_0000147,2025-08-14,27,29131,770,2,0.053,Business,95728.43,60,0.073,0,0,CA,education,1,0
LOAN_0000148,2024-01-11,52,81868,605,3,0.422,Mortgage,204571.78,180,0.1877,1,0,PA,education,0,1
LOAN_0000149,2023-12-16,33,145795,848,10,0.079,Student,70602.85,180,0.03,1,1,TX,business,0,17
LOAN_0000150,2023-10-07,50,20000,850,10,0.069,Personal,37980.58,48,0.03,1,0,GA,medical,1,0
LOAN_0000151,2024-12-14,43,135048,584,4,0.137,Auto,17327.91,72,0.241,1,0,CA,education,1,2
LOAN_0000152,2024-12-02,26,117944,665,15,0.283,Business,225172.07,48,0.1609,1,0,PA,education,1,2
LOAN_0000153,2024-12-29,18,74521,561,10,0.289,Personal,34314.09,60,0.3148,1,0,OH,other,1,0
LOAN_0000154,2024-06-23,29,20000,468,1,0.226,Auto,29643.97,60,0.3289,0,0,FL,business,1,1
LOAN_0000155,2024-01-17,40,74557,532,0,0.042,Personal,17195.97,36,0.3386,1,0,OH,debt_consolidation,1,0
LOAN_0000156,2025-04-06,26,28714,708,2,0.171,Auto,41948.52,60,0.0928,1,0,NY,debt_consolidation,1,3
LOAN_0000157,2024-07-22,39,57370,612,7,0.151,Personal,9524.88,48,0.268,1,0,FL,business,1,1
LOAN_0000158,2024-10-11,47,56910,743,3,0.278,Mortgage,109029.37,180,0.0449,1,0,NY,vacation,1,5
LOAN_0000159,2024-04-01,55,110968,700,1,0.263,Business,61073.98,60,0.1448,0,0,MI,vacation,1,4
LOAN_0000160,2025-08-13,66,120566,850,0,0.52,Mortgage,441916.7,180,0.03,1,0,NC,education,1,1
LOAN_0000161,2024-01-05,59,60569,704,3,0.531,Mortgage,156431.84,180,0.0733,1,0,NC,business,1,1
LOAN_0000162,2024-08-13,48,59543,707,23,0.614,Auto,42590.65,36,0.108,1,0,FL,vacation,1,1
LOAN_0000163,2024-05-30,64,53870,661,1,0.191,Mortgage,212909.54,360,0.1154,1,0,NY,vacation,1,9
LOAN_0000164,2024-02-15,51,73115,682,10,0.18,Personal,32292.54,60,0.1884,0,0,NY,education,0,3
LOAN_0000165,2023-12-29,46,34483,532,4,0.215,Mortgage,116468.96,300,0.2642,0,0,CA,home_improvement,1,4
LOAN_0000166,2024-08-19,41,35373,800,21,0.437,Auto,30040.51,36,0.03,0,0,IL,business,1,1
LOAN_0000167,2023-10-19,31,65589,567,6,0.273,Personal,16758.68,60,0.3111,1,0,NY,other,0,2
LOAN_0000168,2024-03-04,44,43160,581,0,0.35,Mortgage,152923.92,240,0.2088,0,0,FL,medical,1,1
LOAN_0000169,2025-06-04,34,40324,586,8,0.192,Mortgage,116005.03,360,0.2133,1,0,PA,education,0,3
LOAN_0000170,2025-04-01,32,54067,793,6,0.118,Mortgage,187084.85,240,0.03,1,0,CA,business,1,1
LOAN_0000171,2023-10-22,39,56166,663,4,0.19,Mortgage,263092.41,360,0.1284,0,0,MI,medical,1,0
LOAN_0000172,2025-08-28,18,59087,793,2,0.2,Student,85093.65,120,0.03,1,0,FL,medical,1,4
LOAN_0000173,2024-08-13,34,36620,689,2,0.079,Auto,72963.7,60,0.1144,1,0,OH,education,0,3
LOAN_0000174,2024-06-26,51,20000,813,1,0.205,Mortgage,99981.48,240,0.03,1,0,FL,medical,0,3
LOAN_0000175,2024-01-30,33,108978,679,3,0.332,Personal,43826.7,24,0.1957,1,0,OH,debt_consolidation,0,4
LOAN_0000176,2023-11-04,55,115340,619,3,0.535,Personal,49814.04,24,0.2517,1,0,PA,debt_consolidation,0,11
LOAN_0000177,2023-10-07,34,56883,796,1,0.432,Mortgage,124735.96,300,0.03,1,0,OH,business,0,4
LOAN_0000178,2023-09-21,18,99254,746,4,0.18,Student,27171.93,240,0.0529,0,0,CA,vacation,0,1
LOAN_0000179,2024-07-30,34,25138,593,3,0.352,Auto,56071.1,48,0.2099,0,0,CA,medical,0,4
LOAN_0000180,2025-04-17,41,43391,728,3,0.221,Mortgage,200586.91,360,0.0549,1,0,TX,vacation,1,10
LOAN_0000181,2024-09-13,32,33241,688,2,0.072,Business,138149.96,24,0.137,0,0,OH,other,1,2
LOAN_0000182,2025-01-26,27,24034,740,0,0.225,Auto,37110.27,72,0.0623,1,0,CA,home_improvement,1,1
LOAN_0000183,2025-08-09,48,53827,836,6,0.681,Personal,14896.07,36,0.0325,1,0,FL,debt_consolidation,0,14
LOAN_0000184,2024-10-06,33,44816,638,1,0.231,Personal,9096.05,36,0.25,1,0,NY,medical,1,2
LOAN_0000185,2023-09-04,26,57920,545,0,0.137,Auto,50436.42,48,0.2531,1,0,FL,vacation,1,4
LOAN_0000186,2024-06-20,22,38560,663,10,0.341,Auto,75803.04,60,0.1432,1,0,TX,vacation,1,1
LOAN_0000187,2024-01-07,42,113716,425,0,0.158,Auto,28667.11,48,0.3936,1,0,GA,home_improvement,0,3
LOAN_0000188,2025-06-23,26,55660,525,3,0.239,Student,40748.78,120,0.2736,0,0,CA,other,1,4
LOAN_0000189,2023-11-15,59,87042,599,2,0.503,Mortgage,367380.66,180,0.1892,0,0,NY,debt_consolidation,0,9
LOAN_0000190,2024-04-13,51,47784,636,15,0.369,Mortgage,138743.17,360,0.1555,1,0,OH,debt_consolidation,0,1
LOAN_0000191,2023-11-29,55,30419,812,1,0.363,Mortgage,108100.0,300,0.03,1,0,OH,education,1,8
LOAN_0000192,2023-12-26,38,20000,448,6,0.102,Mortgage,98879.41,360,0.3549,0,0,OH,debt_consolidation,1,7
LOAN_0000193,2024-10-08,35,37316,527,3,0.126,Business,69588.42,36,0.3006,0,0,CA,business,0,2
LOAN_0000194,2023-09-08,35,46444,672,19,0.204,Personal,12397.82,36,0.1971,1,0,IL,medical,1,1
LOAN_0000195,2024-07-16,43,25405,463,1,0.293,Mortgage,118343.59,240,0.3228,0,0,PA,business,1,3
LOAN_0000196,2024-12-18,51,20000,632,0,0.384,Auto,20905.47,36,0.151,0,0,CA,medical,1,0
LOAN_0000197,2025-02-15,74,63157,528,5,0.354,Mortgage,185951.22,240,0.2534,0,0,GA,medical,0,3
LOAN_0000198,2023-11-16,18,58024,819,7,0.053,Personal,32726.72,36,0.0535,1,0,PA,business,1,0
LOAN_0000199,2025-06-25,18,120663,809,11,0.315,Personal,42023.13,60,0.0526,1,0,FL,home_improvement,1,14
LOAN_0000200,2025-05-25,60,77194,804,0,0.579,Student,20026.32,180,0.03,1,0,CA,business,0,5
LOAN_0000201,2025-03-14,27,79704,645,0,0.208,Student,41154.45,240,0.1633,1,0,FL,home_improvement,1,0
LOAN_0000202,2024-09-10,38,36773,778,3,0.39,Auto,23299.28,36,0.03,0,0,FL,medical,0,0
LOAN_0000203,2024-01-01,43,60093,613,12,0.274,Auto,63489.57,72,0.1908,0,0,OH,debt_consolidation,0,1
LOAN_0000204,2024-07-03,40,20000,774,3,0.108,Personal,35102.67,60,0.1117,0,0,CA,medical,0,1
LOAN_0000205,2023-12-14,51,34765,626,10,0.283,Personal,32554.27,60,0.2473,1,0,OH,other,1,3
LOAN_0000206,2025-07-17,35,48566,650,1,0.016,Student,35664.96,240,0.1605,1,0,CA,debt_consolidation,0,1
LOAN_0000207,2024-12-13,68,61031,498,8,0.575,Auto,25726.6,48,0.3073,0,0,OH,medical,0,13
LOAN_0000208,2024-03-10,37,40228,726,2,0.256,Personal,49130.59,36,0.1499,0,0,OH,debt_consolidation,0,1
LOAN_0000209,2024-04-21,56,122839,722,1,0.21,Business,97165.17,24,0.105,1,0,CA,other,1,4
LOAN_0000210,2024-08-24,37,30034,650,4,0.415,Business,62443.25,48,0.1772,1,0,CA,medical,1,4
LOAN_0000211,2023-11-20,49,137692,755,0,0.25,Mortgage,319464.13,180,0.03,1,1,MI,medical,1,2
LOAN_0000212,2024-05-15,62,60213,510,0,0.413,Mortgage,164966.22,240,0.2722,0,0,CA,other,1,8
LOAN_0000213,2025-01-17,38,89040,697,3,0.049,Mortgage,280843.24,180,0.0866,1,0,OH,home_improvement,0,0
LOAN_0000214,2025-04-30,31,22512,515,3,0.544,Personal,15072.77,24,0.3451,0,0,GA,vacation,0,2
LOAN_0000215,2025-02-13,55,27328,603,7,0.334,Business,72291.91,48,0.2318,0,0,TX,debt_consolidation,1,17
LOAN_0000216,2023-12-21,20,70842,378,15,0.127,Student,59122.26,240,0.4212,1,0,GA,home_improvement,0,1
LOAN_0000217,2023-10-01,33,104443,815,2,0.323,Student,73900.83,180,0.03,1,0,NC,education,1,0
LOAN_0000218,2023-12-23,82,33337,705,3,0.306,Student,96497.36,240,0.0898,1,0,IL,home_improvement,1,0
LOAN_0000219,2025-06-08,41,78831,840,2,0.279,Personal,17072.45,60,0.0558,1,0,NC,education,1,4
LOAN_0000220,2024-05-19,18,26188,322,0,0.166,Personal,6030.35,36,0.5608,0,0,FL,other,1,0
LOAN_0000221,2024-02-27,51,61551,762,0,0.404,Mortgage,223816.77,360,0.03,1,0,OH,vacation,0,0
LOAN_0000222,2024-05-12,37,51409,623,2,0.245,Mortgage,147913.58,240,0.1648,1,0,TX,other,0,8
LOAN_0000223,2025-07-07,18,28680,809,4,0.131,Business,37444.74,24,0.03,1,0,FL,debt_consolidation,1,0
LOAN_0000224,2024-03-27,50,153480,679,2,0.41,Business,127186.57,60,0.1405,1,0,GA,business,1,0
LOAN_0000225,2024-10-27,48,103139,739,7,0.152,Auto,27111.81,60,0.0872,1,0,FL,other,1,4
LOAN_0000226,2025-07-16,19,58099,815,25,0.201,Mortgage,127380.31,360,0.03,1,0,OH,business,1,0
LOAN_0000227,2024-09-11,42,27604,494,2,0.221,Mortgage,103338.41,300,0.2898,0,0,FL,business,0,0
LOAN_0000228,2025-05-01,26,52103,788,1,0.022,Personal,7511.72,24,0.0687,0,0,NC,home_improvement,1,7
LOAN_0000229,2024-01-04,27,40813,653,0,0.162,Student,29453.63,240,0.1628,1,0,NC,other,0,1
